,Rank,Title,Artist(s),Year,Lyrics,Source
42,43,one call away,charlie puth,2016,"[""I'm only one call away\nI'll be there to save the day\nSuperman got nothing on me\nI'm only one call away"", ""Call me, baby, if you need a friend\nI just wanna give you love\nC'mon, c'mon, c'mon\nReaching out to you, so take a chance"", ""No matter where you go, know you're not alone\nI'm only one call away"", ""I'll be there to save the day\nSuperman got nothing on me\nI'm only one call away\nCome along with me and don't be scared"", ""I just wanna set you free\nC'mon, c'mon, c'mon\nYou and me can make it up, anyway\nFor now, we can stay here for a while\nCause you know, I just wanna see your smile\nNo matter where you go, know you're not alone"", ""I'm only one call away\nI'll be there to save the day"", ""Superman got nothing on me\nI'm only one call away\nWhen you're weak I'll be strong\nI'm gonna keep holding on"", ""Now don't you worry, it won't be long\nDarling, if you feel like hope is gone\nJust run into my arms\nI'm only one call away\nI'll be there to save the day\nSuperman got nothing on me\nI'm only one, I'm only one call away\nI'm only one call away\nI'll be there to save the day\nSuperman got nothing on me\nI'm only one call away\nI'm only one call away""]",1
43,44,let it go,james bay,2016,"['From walking home and talking loads\nTo seeing shows in evening clothes with you\nFrom nervous touch and getting drunk\nTo staying up and waking up with you', ""Now we're slipping near the edge\nHolding something we don't need\nAll this delusion in our heads\nIs gonna bring us to our knees"", ""So come on, let it go\nJust let it be\nWhy don't you be you\nAnd I'll be me?"", ""Everything that's broke\nLeave it to the breeze\nWhy don't you be you\nAnd I'll be me?"", ""And I'll be me"", ""From throwing clothes across the floor\nTo teeth and claws and slamming doors at you\nIf this is all we're living for\nWhy are we doing it, doing it, doing it anymore?"", ""I used to recognize myself\nIt's funny how reflections change\nWhen we're becoming something else\nI think it's time to walk away"", ""So come on, let it go\nJust let it be\nWhy don't you be you\nAnd I'll be me?"", ""Everything that's broke\nLeave it to the breeze\nWhy don't you be you\nAnd I'll be me?"", ""And I'll be me"", ""Tryna fit your hand inside of mine\nWhen we know it just don't belong\nThere's no force on earth\nCould make me feel right, no, whoa"", ""Tryna push this problem up the hill\nWhen it's just too heavy to hold\nThink now is the time to let it slide"", ""So come on, let it go\nJust let it be\nWhy don't you be you\nAnd I'll be me?\nEverything that's broke\nLeave it to the breeze\nLet the ashes fall\nForget about me\nCome on, let it go\nJust let it be\nWhy don't you be you\nAnd I'll be me?\nAnd I'll be me""]",1
44,45,no,meghan trainor,2016,"[""I think it's so cute and I think it's so sweet!\nHow you let your friends encourage you to try and talk to me\nBut let me stop you there\nOh, before you speak..."", 'Nah to the ah to the, no, no, no!', 'My name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no!\nMy name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no!', ""First you gonna say you ain't runnin' game, thinkin' I'm believing every word\nCall me beautiful, so original, telling me I'm not like other girls\nI was in my zone before you came along, now I'm thinking maybe you should go\nBlah, blah, blah, blah\nI be like nah to the I, to the I, to the no, no, no!"", ""All my ladies listen up\nIf that boy ain't giving up\nLick your lips and swing your hips\nGirl all you gotta say is..."", 'My name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no!\nMy name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no!', ""Thank you in advance, I don't wanna dance (nope!)\nI don't need your hands all over me\nIf I want a man, then I'mma get a man\nBut it's never my priority\nI was in my zone, before you came along,\nDon't want you to take this personal\nBlah, blah, blah, I be like nah to the ah to the, no, no, no!"", ""All my ladies listen up\nIf that boy ain't giving up\nLick your lips and swing your hips\nGirl all you gotta say is..."", 'My name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no\nMy name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no', ""I'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\n(Nah to the ah to the, no, no, no)\nI'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\n(Nah to the ah to the, no, no, no)"", ""All my ladies listen up\nIf that boy ain't giving up\nLick your lips and swing your hips\nGirl all you gotta say is..."", 'My name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no\nMy name is no\nMy sign is no\nMy number is no\nYou need to let it go\nYou need to let it go\nNeed to let it go\nNah to the ah to the, no, no, no', ""I'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\nI'm feeling...\nUntouchable, untouchable\n(Nah to the ah to the, no, no, no...)""]",1
45,46,never forget you,zara larsson and mnek,2016,,
46,47,let me love you,dj snake featuring justin bieber,2016,"[""I used to believe\nWe were burning on the edge of something beautiful\nSomethin' beautiful\nSelling a dream\nSmoke and mirrors keep us waiting on a miracle\nOn a miracle"", ""Say go through the darkest of days\nHeaven's a heartbreak away\nNever let you go, never let me down\nOh, it's been a hell of a ride\nDriving the edge of a knife\nNever let you go, never let me down"", ""Don't you give up, nah, nah, nah\nI won't give up, nah, nah, nah\nLet me love you\nLet me love you"", ""Don't you give up, nah, nah, nah\nI won't give up, nah, nah, nah\nLet me love you\nLet me love you\n(Oh, baby, baby)"", ""Don't fall asleep\nAt the wheel, we've got a million miles ahead of us\nMiles ahead of us\nAll that we need\nIs a rude awakening to know we're good enough\n(Yeah) know we're good enough"", ""Say go through the darkest of days\nHeaven's a heartbreak away\nNever let you go, never let me down\nOh, it's been a hell of a ride\nDriving the edge of a knife\nNever let you go, never let me down"", ""Don't you give up, nah, nah, nah\nI won't give up, nah, nah, nah\nLet me love you\nLet me love you"", ""Don't you give up, nah, nah, nah\nI won't give up, nah, nah, nah\nLet me love you\nLet me love you\n(Oh, baby, baby)"", 'Never let you go\nNever let you go, go\nNever let you go\nNever let you go, go\nNever let you go\nGo, never let you go', 'Never let you go\nNever let you go, go\nNever let you go\nNever let you go, go\nNever let you go\nGo, never let you go', ""Don't you give up, nah, nah, nah\nI won't give up, nah, nah, nah\nLet me love you\nLet me love you"", ""Don't you give up, nah, nah, nah\nI won't give up, nah, nah, nah\nLet me love you\nLet me love you""]",1
47,48,don't mind,kent jones,2016,"['Hola, Hola Ma', 'Keep telling me this\nAnd telling me that\nYou said once you take me with you, I\'ll never go back\nNow I got a lesson that I want to teach\nIma show you that where you from don\'t matter to me\nShe said ""Hola, Cómo estás?""\nShe said ""Konnichiwa""\nShe said ""Pardon my French""\nI said ""Bonjour Madame""\nThen she said ""Sak pase""\nAnd I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all\nShe said ""Hola, ¿Como estás""\nShe said ""Konnichiwa""\nShe said ""Pardon my French""\nI said ""Bonjour Madame""\nThen she said ""Sak pase""', 'And I said ""N\'ap boule""', ""No matter where I go you know I love'em all"", 'African American for sho\nI told that baby come and ride the rodeo\nEvery time I come around man, I go for broke', 'She gives me desktop til I overload\nNow baby you gon go where you post to go', ""Cause I ain't got time for you every day"", ""She said she got a man keep it on the low\nI said he don't speak English, the fuck he gon say (aye)"", 'Telling me this\nAnd telling me that\nYou said once you take me with you, I\'ll never go back\nNow I got a lesson that I want to teach\nIma show you that where you from don\'t matter to me\nShe said ""Hola, Cómo estás?""\nShe said ""Konnichiwa""\nShe said ""Pardon my French""\nI said ""Bonjour Madame""\nThen she said ""Sak pase""\nAnd I said ""N\'ap boule""', 'No matter where I go, you know I love \'em all\nShe said ""Hola, ¿Como estás""\nShe said ""Konnichiwa""', 'She said ""Pardon my French""\nI said ""Bonjour Madame""', 'Then she said ""Sak pase""\nAnd I said ""N\'ap boule""\nNo matter where I go you know I love them all', 'She from Africa but she fucks me like she Haitian\nAss black, but the eyes looking Asian\nI give her the can in Kansas\nI got it on tape; she on candid camera\nOKC I forgot we met in Oklahoma\nI use to smoke Regina, she from Arizona', 'Then I met a girl in Cali I never disowned her\nShe got that high grade\nHer weed come with diplomas, I want her\nBut she keep\nTelling me this\nAnd telling me that\nYou said once you take me with you, I\'ll never go back\nNow I got a lesson that I want to teach\nIma show you that where you from don\'t matter to me\nShe said ""Hola, Cómo estás?""\nShe said ""Konnichiwa""\nShe said ""Pardon my French""\nI said ""Bonjour Madame""\nThen she said ""Sak pase""\nAnd I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all\nShe said ""Hola, ¿Como estás""\nShe said ""Konnichiwa""\nShe said ""Pardon my French""\nI said ""Bonjour Madame""\nThen she said ""Sak pase""\nAnd I said ""N\'ap boule""\nNo matter where I go you know I love them all\nShe said ""Hola, Cómo estás?""\nShe said ""Konnichiwa""\nShe said ""Pardon my French""\nI said ""Bonjour Madame""\nThen she said ""Sak pase""\nAnd I said ""N\'ap boule""\nNo matter where I go, you know I love \'em all\nShe said ""Hola, ¿Como estás""\nShe said ""Konnichiwa""\nShe said ""Pardon my French""\nI said ""Bonjour Madame""\nThen she said ""Sak pase""\nAnd I said ""N\'ap boule""\nNo matter where I go you know I love them all']",1
48,49,h.o.l.y.,florida georgia line,2016,,
49,50,we don't talk anymore,charlie puth featuring selena gomez,2016,"[""We don't talk anymore\nWe don't talk anymore\nWe don't talk anymore\nLike we used to do\nWe don't love anymore\nWhat was all of it for?\nOh, we don't talk anymore\nLike we used to do"", ""I just heard you found the one you've been looking\nYou've been looking for\nI wish I would have known that wasn't me\n'Cause even after all this time, I still wonder\nWhy I can't move on\nJust the way you did so easily"", ""Don't wanna know\nKind of dress you're wearing tonight\nIf he's holding onto you so tight\nThe way I did before\nI overdosed\nShould've known your love was a game\nNow I can't get you out of my brain\nOh, it's such a shame"", ""That we don't talk anymore\nWe don't talk anymore\nWe don't talk anymore\nLike we used to do\nWe don't love anymore\nWhat was all of it for?\nOh, we don't talk anymore\nLike we used to do"", ""I just hope you're lying next to somebody\nWho knows how to love you like me\nThere must be a good reason that you're gone\nEvery now and then I think you might want me to\nCome show up at your door\nBut I'm just too afraid that I'll be wrong"", ""Don't wanna know\nIf you're looking into her eyes\nIf she's holding onto you so tight\nThe way I did before\nI overdosed\nShould've known your love was a game\nNow I can't get you out of my brain\nOh, it's such a shame"", ""That we don't talk anymore\nWe don't talk anymore\nWe don't talk anymore\nLike we used to do\nWe don't love anymore\nWhat was all of it for?\nOh, we don't talk anymore\nLike we used to do"", 'Like we used to do', ""Don't wanna know\nKind of dress you're wearing tonight\nIf he's giving it to you just right\nThe way I did before\nI overdosed\nShould've known your love was a game\nNow I can't get you out of my brain\nOh, it's such a shame"", ""That we don't talk anymore\nWe don't talk anymore\nWe don't talk anymore\nLike we used to do\nWe don't love anymore\nWhat was all of it for?\nOh, we don't talk anymore\nLike we used to do"", ""We don't talk anymore (don't wanna know)\nKind of dress you're wearing tonight (oh)\nIf he's holding onto you so tight (oh)\nThe way I did before\nWe don't talk anymore (I overdosed)\nShould've known your love was a game (oh)\nNow I can't get you out of my brain (whoa)\nOh, it's such a shame"", ""That we don't talk anymore""]",1
50,51,into you,ariana grande,2016,"[""I'm so into you,\nI can barely breathe\nAnd all I wanna do\nis to fall in deep\nBut close ain't close enough\n'til we cross the line, baby\nSo name a game to play,\nand I'll role the dice, hey"", ""Oh baby, look what you started\nThe temperature's rising in here\nIs this gonna happen?\nBeen waiting and waiting for you\nto make a move\n(Woo, oh, oh, oh)\nBefore I make a move\n(Woo, oh, oh, oh)"", ""So baby, come light me up\nand maybe I'll let you on it\nA little bit dangerous,\nbut baby, that's how I want it\nA little less conversation, and\na little more touch my body\nCause I'm so into you,\ninto you,\ninto you\nGot everyone watchin' us,\nso baby, let's keep it secret\nA little bit scandalous,\nbut baby, don't let them see it\nA little less conversation and\na little more touch my body\nCause I'm so into you,\ninto you,\ninto you,\noh yeah"", 'This could take some time, hey\nI made too many mistakes\nBetter get this right, right, baby', ""Oh baby, look what you started\nThe temperature's rising in here\nIs this gonna happen?\nBeen waiting and waiting for you to make a move\n(Woo, oh, oh, oh)\nBefore I make a move\n(Woo, oh, oh, oh)"", ""So baby, come light me up\nand maybe I'll let you on it\nA little bit dangerous,\nbut baby, that's how I want it\nA little less conversation, and\na little more touch my body\nCause I'm so into you,\ninto you,\ninto you\nGot everyone watchin' us,\nso baby, let's keep it secret\nA little bit scandalous,\nbut baby, don't let them see it\nA little less conversation and\na little more touch my body\nCause I'm so into you,\ninto you,\ninto you"", ""Tell me what you came here for\nCause I can't, I can't wait no more\nI'm on the edge with no control\nAnd I need, I need you to know\nYou to know, oh"", ""So baby, come light me up\nand maybe I'll let you on it\nA little bit dangerous,\nbut baby, that's how I want it\nA little less conversation, and\na little more touch my body\nCause I'm so into you,\ninto you,\ninto you"", ""Got everyone watchin' us,\nso baby, let's keep it secret\nA little bit scandalous,\nbut baby, don't let them see it\nA little less conversation and\na little more touch my body\nCause I'm so into you,\ninto you,\ninto you"", ""So come light me up,\nso come light me up my baby\nA little dangerous,\na little dangerous my baby\nA little less conversation and\na little more touch my body\nCause I'm so into you,\ninto you,\ninto you""]",1
51,52,gold,kiiara,2016,"[""Roof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me"", ""Gold up in my, gold up in my teeth\n(Gold up, gold up in my teeth)\nDon't care what you say to me, I'ma bite your feelings out\n(Gold up in my teeth)\nI missed you in the basement\n(Gold up in my teeth)\nBut your brother was a good substitute for you"", ""And if you love me, love me, but you never let me go\nWhen the roof was on fire, you never let me know\nSay you're sorry honey, but you never really show\nAnd I could leave the party without ever letting you know\nWithout ever letting you know"", ""Roof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nWithout ever letting you know"", 'Gold up in my, gold up in my teeth\n(Gold up, gold up in my teeth)\nTastes like money when I speak\n(Gold up, gold up in my teeth)\nAnd I missed you in the basement\n(Yeah, gold up in my teeth)\nBodies on the pavement\n(Oh, gold up in my teeth)', ""And if you love me, love me, but you never let me go\nWhen the roof was on fire, you never let me know\nSay you're sorry honey, but you never really show\nAnd I could leave the party without ever letting you know\nWithout ever letting you know"", ""Roof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nWithout ever letting you know"", 'Gold up in my, gold up in my teeth\n(Gold up, gold up in my teeth)\nTaste like money when I speak\n(Gold up, gold up in my teeth)\nAnd I missed you in the basement\n(Yeah, gold up in my teeth)\nBodies on the pavement (Oh)', ""And if you love me, love me, but you never let me go\nWhen the roof was on fire, you never let me know\nSay you're sorry honey, but you never really show\nAnd I could leave the party without ever letting you know\nWithout ever letting you know"", ""Roof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nRoof was fallin', let me, love me\nWithout ever letting you know\nRoof was fallin', let me, love me, fallin', I just know\nWithout ever letting you know""]",1
52,53,exchange,bryson tiller,2016,"[""This what happen when I think about you\nI get in my feelings, yeah\nI start reminiscing, yeah\nNext time around, fuck I want it to be different, yeah\nWaiting on a sign, guess it's time for a different prayer\nLord please save her for me, do this one favor for me\nI had to change my play of ways got way to complicated for me\nI hope she's waiting for me\nEverywhere she go, they playin' my song\nThat's why I say the things that I say that way I know you can't ignore me\nBut so, so"", 'So gimme all of you in exchange for me\nJust give me all of you in exchange for me, for me', 'Break it down, yeah\nYes sir, check', ""We use to lay up and then stay up\nHave sex and then blow dank\nI shouldn't have played no games with you, just leveled up my rank\nLast time I saw you we ain't speak that was strange\nGuess it's nothing I can do, man it's true, ex's change, yeah\nGuess you changed for the better (Better)\nI know you know how to make me jealous\nI was never loyal, let you tell it, yo\nBut I'm ready to fix it if you ready, baby\nBut so, so1"", 'So gimme all of you in exchange for me\nJust give me all of you in exchange for me, for me', 'For real shawty\nYeah I know', 'Yeah, is you at 2 Keys or Tin Roof?\nTurn up with young Tiller, we just getting loose\nMaybe, I\'m low key feelin\' you, don\'t be cynical\nI\'ma fuck you over, wanna fuck you over then again the truth\nIs I ain\'t really here to start problems\nGirl I swear to God them, hoes can\'t never say they got him\nKnow how bad you wanna tell \'em ""Don\'t try him""\nI don\'t wanna tell him, let\'s surprise him\nI don\'t wanna get into it, why you stressin\' him, I\'ve been drivin\'\nBack and fourth, from Louisville to Lexington, mileage\nOn the whip, got your ass on my grip, college\nMake you wanna strip for them dollars\nNah girl I got a job for you, swear to God I can do a lot for you\nSaw you strollin\' through the campus, I had to stop for you\nI was scrollin\' through the \'gram, girl, I had to follow you\nSay wassup witchu? You got my soul']",1
53,54,679,fetty wap featuring remy boyz,2016,"['Yeaaah baby, 17\n(RemyBoy Lifestyle)\nAy, ay, look', ""Baby girl, you're so damn fine though\nI'm tryna know if I could hit it from behind though\nI'm sipping on you like some fine wine though\nAnd when it's over, I press rewind though, ay\nYou talking bands, girl, I got it\nBenjamins all in my pocket\nI traded in my Trues for some Robins\nHe playing Batman, Fetty's gon' rob him, ay"", ""I got a Glock in my 'Rari, ay\n17 shots, no 38\nI got a Glock in my 'Rari\n17 shots, no 38"", ""I'm like, yeah, she's fine\nWonder when she'll be mine\nShe walk past, I press rewind"", 'To see that ass one more time\nAnd I got this sewed up\nRemy Boyz, they know us\nAll fast money, no slow bucks\nNo one can control us\nAy, yeaaah baby', ""J'suis dans le bolide\nLe mauvais djo est solide\nSuis-moi y'a pas d'lézard\nMonte dans le Nebuchadnezzar"", ""Alors, comme ça tu passes ta vie dans les chichas?\nEspèce di counasse\nBelahni, zarma y'a pas d'cool-al donc on y va\nEspèce di counasse\nBitch, applaudis des fesses\nC'est le ble-Dia qui chante la messe\nPirate enflammé\nTire une latte d'amné, tu rates, on t'la met\nRegarde tes cuisses, je n'sens plus mes cinq sens\nJ'confonds les 10 et les billets d'500\nJe coupe, je coupe et j'attends les ients ients\nJ'descends d'une soucoupe\nD'après David Vincent\n2-7"", ""I'm like, yeah, she's fine\nWonder when she'll be mine\nShe walk past, I press rewind\nTo see that ass one more time\nAnd I got this sewed up\nRemy Boyz, they know us\nAll fast money, no slow bucks\nNo one can control us\nAy, yeaaah baby"", ""Je te gué-dra et je vois qu'tu rougis\nY'a un jeu d'pieds, j'crois qu'j'vais me tèj\nNe me mens pas, y'a pas un peu d'chirurgie\nParce que t'es ielle-vie mais tes eins sont nes-jeu\nJe cherche une trap queen pour aller sur Tatooine\nKing Kong veut une blonde à forte poitrine\nSurtout pas ces babouines\nPablito avec une sacoche\nY'a pas photo quand c'est moi qui galoche\nJ'suis tellement partout, je porte mes baloches\nQue quand je m'éloigne, tu crois qu'je m'approche"", ""I'm like, yeah, she's fine\nWonder when she'll be mine\nShe walk past, I press rewind\nTo see that ass one more time\nAnd I got this sewed up\nRemy Boyz, they know us\nAll fast money, no slow bucks\nNo one can control us\nAy, yeaaah baby"", 'ZooWap, Monty\nZoowap, Dicey\nYeaah baby, Remy Boyz\nYeaah, yeaaah']",1
54,55,oui,jeremih,2016,"['Ahh ahh ahh ahh ahh\nAhh ahh ahh ahh ahh\nAhh ahh ahh ahh ahh.', ""I think about all the time\nThink you may need all of mine\nHate to say you know that love is blind\nI'm 'bout to see, I'll close my eyes\n(Truth is) They can't see you in here though\nMost of them need dollar signs to make\nEvery day your birthday"", ""And every night your Valentine...\nIf we tried that we could be\nSomewhere the climate is warm, long as you around me\nI swear that everything will be just fine\nI wish that we could take some time\nGo anywhere, baby I don't mind\nGrown man, in my suit and tie\nHey, there's no we without you and I\nOh, yea, ah yea, ah ah yea\nHey, there's no we without you and I\nOh yea, ah yea, ah ah yea"", ""Hey, there's no we without you and I\nSee my baby know, where my baby go, I go\nIt's no better feeling, you know when I'm next to her for sure\nOh how can they hate? Gotta get this off my chest\nOh girl, I think I love you, I swear your shit look best"", ""Friends, they know they hate, they don't get the best"", ""Ah yea, I think I love you, oh baby maybe\nIf we tried that we could be\nSomewhere the climate is warm, long as you around me\nI swear that everything will be just fine\nI wish that we could take some time\nGo anywhere, baby I don't mind\nGrown man, in my suit and tie\nHey, there's no we without you and I\nOh, yea, ah yea, ah ah yea"", ""Hey, there's no we without you and I\nOh yea, ah yea, ah ah yea"", ""Hey, there's no we without you and I"", 'Oohh, da du du du du\nOohh, da du du du du\nOohh, da du du du du', ""Oohh, da du du du du\nIf we tried that we could be\nSomewhere the climate is warm, long as you around me\nI swear that everything will be just fine\nI wish that we could take some time\nGo anywhere, baby I don't mind\nGrown man, in my suit and tie\nHey, there's no we without you and I\nOh, yea, ah yea, ah ah yea\nHey, there's no we without you and I\nOh yea, ah yea, ah ah yea\nHey, there's no we without you and I""]",1
55,56,hands to myself,selena gomez,2016,"[""Can't keep my hands to myself\nNo matter how hard I'm trying to\nI want you all to myself\nYour metaphorical gin and juice"", ""So come on, give me a taste\nOf what it's like to be next to you\nWon't let one drop go to waste\nYour metaphorical gin and juice"", ""Oh, cause all of the downs and the uppers\nKeep making love to each other\nAnd I'm trying, trying, I'm trying, trying\nAll of the downs and the uppers\nKeep making love to each other\nAnd I'm trying, trying, I'm trying\nBut I..."", ""Can't keep my hands to myself\nMy hands to myself\nCan't keep my hands to myself\nMy hands to myself"", ""The doctors say you're no good\nBut people say what they wanna say\nAnd you should know if I could\nI'd breathe you in every single day"", ""Oh, cause all of the downs and the uppers\nKeep making love to each other\nAnd I'm trying, trying, I'm trying, trying\nAll of the downs and the uppers\nKeep making love to each other\nAnd I'm trying, trying, I'm trying\nBut I..."", ""Can't keep my hands to myself\nMy hands to myself\nCan't keep my hands to myself\nMy hands to myself"", ""Can't keep my hands to myself\nI want it all, no, nothing else\nCan't keep my hands to myself\nGive me your all and nothing else\nOh, I, I want it all\nI want it all\nI want it all, ooh"", ""Can't keep my hands to myself\nI mean, I could but why would I want to?"", ""My hands to myself\nCan't keep my hands to myself\nMy hands to myself\nCan't keep, keep my hands to myself"", ""I want it all, no, nothing else\nCan't keep my hands to myself\nGive me your all and nothing else\nCan't keep my hands to myself""]",1
56,57,2 phones,kevin gates,2016,"['Hello? What the deal? Bet', ""I got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'\nI got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'"", ""Button start the foreign, oh my God I'm gorgeous\nI just put the key inside my pocket park\nIt might not get to see, this a new Ferrari\nMan in the mirror, how you choose to bother\nSomeone said they callin', I don't feel like talkin'\nEverything is different returned the way I bought it\nPhone be interrupting me while I'm recordin'\nPhone be making women feel they unimportant\nCall my dog, he say it's all the way retarded\nKeep the [?] cause I am not using the Foreman\nKitchen, I just finished up new performance\nHater, wish you well\nI got cliental\nI just got it off the scale"", ""I got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'\nI got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'"", ""There they go again, one of my lil friends\nThey don't give a damn how a nigga been\nAll they wanna know is what I got to give\nHow much did I spend? What I got to lend?\nWhat I did and what I didn't do for them\nBrick comin' in somewhere on the rim\nSection doin' numbers, nowhere by a gym\nRappin' bottles spin [?] I'm supplin' 10\nJumpin' out a Honda, I just got it in\nAskin' what I cop, none of your concern\nOne day you gone learn what you tryna get\nEverything on sale, goin' out of biz\nPartners up in jail, gotta feed the kids\nJuggin' round the city, you know what it is\nBread winner business, put that on the wrist"", ""I got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'\nI got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'"", ""Ring, ring, ringin' man\nFind me balling hard\nCome from grinding hard\nGetting calling cards from your Barbie doll\nWhen she round me she know I'm her bodyguard\nMoney callin' for me, baby girl I'm sorry\nYou just side yelling you not that important\nWeight, shape her, pin you to the carpet\nSmell like tarter, I'mma put you in the water\nConversation cause a lot of chips\nShe don't really get a lot of this\nEngagin' where I'm gazin' at her hips\nAnd ain't nobody makin' no attempts\nAmazing clip, hanging, slanging dick\nMaybe we can make it takin' trips\nMaybe I was thinkin' too impatient\nPhone ringing, hold up, what it is?"", ""I got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'\nI got two phones, one for the plug and one for the load\nI got two phones, one for the bitches and one for the dough\nThink I need two more, line bumpin' I'm ring, ring, ringin'\nCountin' money while they ring, ring, ringin'\nTrap jumpin' I'm ring, ring, ringin'""]",1
