albumname,albumreleasedate,artistname
Kings Of The Wild Frontier,1980,Adam & The Ants
The Essential Adam Ant,1979,Adam Ant
What The Hell Happened To Me?,1996-02-09,Adam Sandler
Adamo,2017-01-24,Arcis
Reckless (30th Anniversary / Deluxe Edition),1984-11-05,Bryan Adams
Circle Of One,1990-01-01,Oleta Adams
Music Addict,2016-04-06,Vincenzo de Robertis
Adema,2001-08-09,Adema
Adeva,1989-09-09,Adeva
Koncert - Live,2009-12-29,Adi Smolar
Songs Of Sanctuary,1995-05-15,Karl Jenkins
Do You Wanna Ride?,1995,Adina Howard
"American Man, Greatest Hits Volume II",2007-12-04,Trace Adkins
Unlucky,1998-01-01,Admiral Twin
Över tid och rum,1984-01-01,Adolphson & Falk
Kuningaz,2012-11-23,Adorned Brood
Reverse Psychology,2016-10-16,Adria Kain
Young Lions,1990,Adrian Belew
Outro Jerry Adriani,2016-03-18,Jerry Adriani
Super Best,1992,Adriano Celentano
Nemesis,2016-01-04,Sound Adventures
Crossing The Red Sea,1978,The Adverts
ae,1993,AENDIAENA
Symbiosis,2015-11-28,Sundial Aeon
Aerosmith,1973,Aerosmith
The Spiral Sacrifice,2018-02-07,Sopor Aeternus & The Ensemble Of Shadows
Afflicted Brigade,2010-03-13,Afflicted Brigade
"Luiz Goes, José Afonso e Carlos Paredes",2014-10-22,Carlos Paredes / José Afonso / Luiz Goes
"beats, rhymes & mr. Scardanelli (Acoustic)",2017-10-06,Afrob
The Good Times,2001-08-28,Afroman
The Very Best Of After 7,1997-03-11,After 7
Creatura,2013-12-04,After Crying
4:21...The Day After,2006-01-01,Method Man
AfterHours,2017-04-07,Mack Wilds
Theatric Symbolisation of Life,2008-10-24,Agathocles
In Darkness,2013-06-28,Agathodaimon
Make a Pest a Pet,2017-02-17,The Age Of Electric
Living In Darkness (30th Anniversary Edition),1981,Agent Orange
Skeptics Apocalypse,1985,Agent Steel
The Agents of Chaos,2011-06-20,Dave Brock
Where'd You Get That Vibe?,1996-01-01,Agents of Good Roots
This Child,2013-12-12,Susan Aglukark
My Colouring Book,2004-04-19,Agnetha Fältskog
Something's Gotta Give,1998-07-14,Agnostic Front
Agora Vai Sentar,2017-07-03,MC Jhowzinho e MC Kadinho
Água na Boca,2015,Tati Zaqui
Hunting High And Low,1985-06-01,a-ha
Poinciana,1951,Ahmad Jamal
Ideologi Sikap Otak,1998,Ahmad Band
Greatest Hits,2008-02-22,Aikakone
Mental Illness,2017-03-31,Aimee Mann
Aion (Remastered),1990,Dead Can Dance
Ultimate Air Supply,2003-05-29,Air Supply
Ultimate Air Supply,2003-05-29,Air Supply
Yra Čia,2006,Airija
A Thousand Memories,1995-01-01,Rhett Akins
Put It In Your Mouth (EP),1996-08-13,Akinyele
Mama Akos,2017-10-02,Lyrical Famous
Biraz Pop Biraz Sezen,2017-01-23,Sezen Aksu
Al Bano,2013,Al Bano
Let's Stay Together,2009,Al Green
Jarreau,1983,Al Jarreau
